검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group
카카오,"카카오톡 이용자 줄고, AI 수익모델 부재에... 카카오 목표주가 '뚝'",https://news.google.com/rss/articles/CBMiWkFVX3lxTFA2RVZpZ0Q0VzF3dWNObFdSS1Q1TE1JRFRWTTBkSVZkZjZQMWdpbTFjMzRJcGhzMUMyQ09hWXZtMmZsTlo0WTVyM052V01PbGo5b3pjbl9CSktMZ9IBVEFVX3lxTE90dnBScjUzSkpHNTlqNVRQWEJ1RXNlQXlmckZ4QTdnVEpTS1A0LTZ2dE9VODFETkpZOFdWdFhWelo1SXRva2ZkSkd1c3lCSXJxZkJibQ?oc=5,한국경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,AI 사업 수익 모델 부재에 카카오 목표가 줄줄이 하향,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9xY0hqWWYteUVIOVdtdUNmS2JuejRFOVdRdEpXdVBnbXgtZmdNZGh1WjFnRDlKemJZQkhpOG0wX3MzQXNJYWMyczhjNWRTWGtXLWc?oc=5,매일경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,실적 선방한 카카오…성장동력 부재에 목표가 '뚝',https://news.google.com/rss/articles/CBMiVEFVX3lxTFBhVXN1ajdQWXYzRk4xVU1jdll1bEQ4cTd5VzIta2RKR1pKM0NwekF4WDFiQkRVV2xVbXc2MUNZWWo3bEVDd3QxUzNTZXoxdzBiYmtfV9IBVEFVX3lxTFBhVXN1ajdQWXYzRk4xVU1jdll1bEQ4cTd5VzIta2RKR1pKM0NwekF4WDFiQkRVV2xVbXc2MUNZWWo3bEVDd3QxUzNTZXoxdzBiYmtfVw?oc=5,한국경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"DB증권, 카카오 목표가 17% 하향…""AI 수익 돌파구 필요""",https://news.google.com/rss/articles/CBMiYEFVX3lxTE1QTGtfYTk1ZC1TQXNVSHBRejE3OWRtdGxZNTZWOUU1Sl9zQVEweGN2a2kxQl96QjNER1l5YV9XcUpheE1aLXFRSF9mQUxkVWdyNC1SaTJRdVVqLWw0bldjTNIBYEFVX3lxTE1QTGtfYTk1ZC1TQXNVSHBRejE3OWRtdGxZNTZWOUU1Sl9zQVEweGN2a2kxQl96QjNER1l5YV9XcUpheE1aLXFRSF9mQUxkVWdyNC1SaTJRdVVqLWw0bldjTA?oc=5,연합뉴스,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"“카카오, 과도한 주가 하락 막을 방법 ‘여기’ 있다”…목표가↓",https://news.google.com/rss/articles/CBMiUkFVX3lxTFA4U0dYazRfX3hFeHQyTHdwSlFBYXZELTdfWGVUVDVwekRVU1VPejdhdVotMFJKQ2N5UUE5VzBHZmZibEdaVnA0azh4STBrQ25WUmc?oc=5,매일경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,[헬로스톡] 7/7 주목할 종목 : 코스맥스·KT&G·카카오·S-Oil,https://news.google.com/rss/articles/CBMiX0FVX3lxTE45YWhISUEwYzAyX3BNRnhHTDFsMlBJakRzSVVEYndyazNNQUZVYmJEZVlBTzkyWDRZTUhjLW9weU40THNrd3htN0dNNTlfSXdJaU1idWZBd3IxYjZ1U2Zz?oc=5,헬로티,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오(035720) 목표주가 6만2000원으로 하향, 2분기 영업이익 2237억원 전망에도 AI 성과가 변수",https://news.google.com/rss/articles/CBMibkFVX3lxTE8tanlBWE5mZmRhWmFLbGI1M1RLdlhmb3gzS2swQzRXYlFwT1pWLW5PVVhMVHVBNWRYMlAtSkt2VHA0aVBsQmJVZFdRaEE5LXRyQnRJZThRaUs1WjlVMHJoeloxR0tzVnlRaDF6c1NB0gFuQVVfeXFMTy1qeUFYTmZmZGFaYUtsYjUzVEt2WGZveDNLazBDNFdiUXBPWlYtbk9VWExUdUE1ZFgyUC1KS3ZUcDRpUGxCYlVkV1FoQTktdHJCdEllOFFpSzVaOVUwcmh6WjFHS3NWeVFoMXpzU0E?oc=5,한국투데이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"한화투자 ""카카오 목표주가 하향, 하반기 AI사업 성과가 가장 중요""",https://news.google.com/rss/articles/CBMic0FVX3lxTE1FUDVBaXJEQ0s5b1IzVWQtd0Iwci00ODlqekpnMWR6REZFZG9MU1c5RWZzSFQ4NEVaZG9GYmQ1YU1UNUYtc2I5cWpwbHRselg2cC1Ea3FFZ3pyQXhyM2RNaXVscTF4SGNvVHF3WFhPeWRyQVk?oc=5,비즈니스포스트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"DB증권 ""카카오, AI 사업 구체적인 수익모델 부족.. 목표가 하향""",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNbGFMRFhyeW4zVUc3bTZIT2dZMjFHNXhPMjNpcFdTRGlmeDdKY256UmN0d29FemczZzFIWE90YThkdURYUEhEejhJOE5BQ3BkU1ZSYXZxVDhwUC1adVRUc3lKZVk1UVFlOVhtRWVpWHpPd2JTVW8zRUhCWmpWbzI4cC1UVVdpbEMy?oc=5,글로벌이코노믹,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오, 하반기 AI 성과 일부라도 확인 필요...목표가 '하향'",https://news.google.com/rss/articles/CBMibkFVX3lxTE92X1FLcXpIN0VHbXphWllQRUpsMWRORVlPZFhmVTlfUFdvODBRb2xVXzhuQW02ejZaOGIwdkFUM0l3OFdHcGxvbkl4YWNlNFZEMzdRR3M4aG9zZXpjcVRWaUJtaEdvWEs4eXRZcmNn?oc=5,알파경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
