검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"기아, 카카오모빌리티와 ‘자율주행 전용 차량’ 개발 맞손",https://news.google.com/rss/articles/CBMiWkFVX3lxTE94OHJmMUxhdDZwSGFndmlyWTN4aGJGeWg4V251U1dMUU54NDExODl6V080UjBNdXk4Rjg2RDZuX2lnYVY5NmV2S3c0SVNlLURXSy1ZM0JtTk1JZ9IBX0FVX3lxTFBFc3dQNXFYeVB6ZG02NDdKNlBNVUgzajF6V3RnR09PQzVfVVZDWTF4Um5FRUFGVWNZWDBJQWJRSFRFQWdwbEx6enNZbFdpbVNrbklfVGs4ZWdxZFgxcVhZ?oc=5,경향신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오엔터 베리즈, 삼성라이온즈×라이언 협업 MD 출시",https://news.google.com/rss/articles/CBMiVkFVX3lxTE9iQ0YzRGZ0YUNQbm94VThfTk44NFo3RW1Zc09CMEgtdjFIcHZfN1hxanZlUTlVMHU2a1FTdzNUVlJyLWthM3JxQ0FDX0R1N2JDZldqejdR?oc=5,지디넷코리아,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"하나투어, AI 여행 서비스 카카오톡 연동…고객 접점 확대",https://news.google.com/rss/articles/CBMiXEFVX3lxTE9CWjViT1JZY1FBN00tVUotdnMwTmxnRDBZZlgxU1F2ekc5QjkwOTdtaGt6bVRzQjRMdm1VTUN1aUt2dE9TUDlCYzZTU2JVZWVCcEtub0V3Y1ZQUldj?oc=5,뉴스핌,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 전용 PBV 개발 맞손",https://news.google.com/rss/articles/CBMicEFVX3lxTFB0UTJkM2pWWEhJd29IU19ILUx6eXRYN0hqYk1sWFlGNDBMclBQZ2V4UjZ2RmFhUExnSmJvYnF0MHozN1QwY0hsQzZ3V2dHRHVGbEtnbmxRVmJVVGIyVHRmYVJjMzRRZUxLOEJZSWxqSDE?oc=5,연합인포맥스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오톡, 특별한 친구 메뉴로 AI 기반 선물 추천 강화",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1DWHdyY1Y4b051WUNtU01pZDZwMWxYVGtjR0hEZW1IbHVNMHZnT09uUlVrdElHRWZnX1U2eDZYRkhpSV8tODkxWGVFRzdiQlQ1THAxVnUtTS1nTU9xYVVlWWxTTjVHMlIz?oc=5,2news.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오모빌리티, 기아와 '자율주행 전용 차량' 개발 나서",https://news.google.com/rss/articles/CBMiakFVX3lxTE51Y3B5MTFmRk1xWW5CM3RwMU45ZFpLOXByQTVrNXFJWGl5a2Z3WmpvUEVfYkZvNkotVkY0Q2xqN1Ezb3oxcU1pX0dYa1FLVGNNTUJfNVFnc1B6WXBNWVJITEpTWU5qNDA2cWc?oc=5,AI타임스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 전용 PBV 개발 협력 - 조선비즈",https://news.google.com/rss/articles/CBMif0FVX3lxTE9tbjRHcnVuVXFvbFpuN1h0OWxyNGh6b1dITXlhRGtIYVdvYWNaaWVKcFFFZlh4bm16R3BKbXZIRHFLLTFHVV85VHI1RWJuUWM0NGdIX3ZEWTVlbVlYU1RJUE84RE5kT1hZSFNVYm81T1BmdTZIQTZRVkhBeHk1aXPSAZMBQVVfeXFMUFFzS0txOHZIYXVDQklxNWhyNkhwOVVaWVVScXdidG1oblk2SURMSkN6cUtoMjlNUjlEbWVzZGJUcWl0MHR6a0pNakdBTzMtQkRVNnc4bXA3TUZVWUxQU0NYLURfaktGZk1ZMG56ZGZMNlF1N0p5anpjd3dRbWg3X2JtNDFtbkZCMmpTZjh2eUhrTzhN?oc=5,Chosunbiz,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 옴니모달 AI ‘카나나-오’ 소개 영상 공개",https://news.google.com/rss/articles/CBMibkFVX3lxTE8wZmZfWDIwZjNNdmdGbm1mcTV0bDJNbzBCRUszdWtab2VZckRNLVB2UjhaaFRMNTVQcEFyZEZHdEw3aTQ1UmNSb00yamFmZmlVYmxaOFE4dW5qVUxXNFk3ZkFGQTc4LW8yZDl1cVJR?oc=5,중소기업신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"하나투어, 카카오톡 AI 여행 상담 도입...""고객 접점 확대""",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE80eDcxd3VQX21kQWZmMlU3RkdwZ1pEMHhsdEZGV21CTVBBMVk3UVMyWlBVbExZZ1BaX1RweklNbS0yaVFHQVV1bnJlX055MVVwZW1tVXZtT19pQlNtcHZrYUxMN0VPcmM?oc=5,팍스경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오모빌리티, 기아와 자율주행차 개발 손잡았다",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9Od2x3RzJQY1dzVWw5UGxyYVRNd01wTlQ0aXdKelJGTUdLM0J1REJPUkcwVUxpdlBYZWVfa1c2LWc4MDNLY0RiaWJpblFmOE5rak5FSEJmeFBoQzBlNmM3S2hMX042RXM3?oc=5,비즈워치,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 자체 개발 AI 모델 '카나나-오' 소개 영상 공개",https://news.google.com/rss/articles/CBMiS0FVX3lxTE1PZll2Nm1GYzhSeVhBS19ySWlvd1dzQjN1cjhmVEFVR0xqYnlCaWhkRk1HeGpnZmpJeDB0WDBpU1FuODJnMXVsemtMNA?oc=5,아이뉴스24,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오모빌리티, 기아와 손잡고 자율주행 서비스 차량 개발",https://news.google.com/rss/articles/CBMiggFBVV95cUxQZk9hdHEydERMNEo2ejVTbVZzVWw4U0RNZlk3Um5EUjN3X3I2dDhVLVFYQnd4eHZCdTl5SlVFU2pldUZIUVo3Q3JFS1VadEVBanRrRzFKMGkzU2RLT2hZQ1hNMlpacmtLeWJPcVdFVXFPVW5jNmpKMmFCZGhOUXZpUkFn?oc=5,Chosunbiz,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 옴니 AI '카나나-o' 소개 영상 공개",https://news.google.com/rss/articles/CBMiTkFVX3lxTFBLRS1MUVdHdnBpbUJOTU04dnp3bkl3Yjhvc0hYamp3TFBNM1l2UHpIOUZ2SGVydk9LX2F3SkRrR2IxTUZEOUFXb2xCczA0Zw?oc=5,전자신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"기아, 카카오모빌리티와 자율주행 전용 PBV 공동 개발",https://news.google.com/rss/articles/CBMihgFBVV95cUxNT1J1Ri1fWS1oOUgzamYybHlERXU2Rm9TWkRXVzdMdXF1c1k2MENOd1J1LVZHaFhnaENyZXRLX1hsNmVIUkNhcE1WTnppc2YtUkFJMWNsMXliTU9scDZsWUEzY1VweUdvTlRON2JjU1A0VGQwbUNtLWZqSjh0dkdhbV9hU3RRQQ?oc=5,글로벌이코노믹,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
