검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group
카카오,"카카오, 반려동물 사진으로 ‘AI 펫레터’ 제작… 내달 14일까지 이벤트 - 조선비즈",https://news.google.com/rss/articles/CBMiggFBVV95cUxPWko2UTlidTU0TkltblhkY1ZCZncwcm12QjVtVFVxX05BWm5DV3Rmb2dIWGlmSUxwWDJRdElxU1k1c2lFWnUzZTBjeWgtZEFtUU1HMWs1UHYyQUxaVGVsSzlWVkY0bWJVeC13MGxiY0VST1YzbFlpMkVRZzRkMGdHVTdR0gGWAUFVX3lxTE9ZVTVxSTlZdWZiWEQ0QjNfaURHejh4SlRUSWttOXU3NFBreTB4dG54Q0JVWE16dVYwOUpXRHZQeFBNNnBaYTJIMFRYZmM4cTJ3c0czMV9FU1VtVTRMNEIwYTBlV3VJRTRYcTZlR3FKb0lKUlJsVHNBeUlORHpHWWp3aS1pX3FieDAyM2t0NUI5ME9tb05IUQ?oc=5,Chosunbiz,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,카카오 AI가 반려동물 사진 분석해 속마음 편지⋯8월 14일까지,https://news.google.com/rss/articles/CBMiS0FVX3lxTFBKY2QwcXhGOHlyVTF0Rm9Sd0ZQUUdIUzJXTnJuWW5TcE4xNFVXNDFuVXVvTF94UURrQVkwZzBrYWtmVlVqMG9veTB3Zw?oc=5,아이뉴스24,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,“반려동물 사진 올리면 AI가 속마음 읽는다”…카카오 '펫레터 만들기' 이벤트,https://news.google.com/rss/articles/CBMiTkFVX3lxTFBzMFdSbWNzQUJkYnhqMm5MNDFsOGhtOHUyM2syTEJqbzNmcXFjWkppY01PczVuS0xuMElaM3U0NUlCaFBaZFhBVnhRcl9UZw?oc=5,전자신문,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,"[리포트 브리핑]카카오페이, '2Q26 Preview: 하반기가 조금 더 기대된다' 중립 - 한국투자증권",https://news.google.com/rss/articles/CBMiXEFVX3lxTE5idEllVVd3M3VDWWxic2ZEajIzaFd2VU5NNjNOU3VLckdZcEpsNTFkNUV1YjJacGRiYkcxM1loTjB2NzFkT0RuQWsxRzhmYXlsQzlBU1pTYjJaaDhY?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,네카오 2분기 '맑음'이지만...AI 수익화 관건,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9fRF9wbTNRUGZEbV9DeG1MckVVOFptbng0UjdQUDR2R21lNEJPa2h4UzBZX21RUER2YjU5WTJZcUg0QzlNeE9ETEFVdF9CTWpYVjhCRlVUQnMtQQ?oc=5,파이낸셜뉴스,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"카카오, 반려동물 사진으로 AI 편지 만드는 '펫레터' 이벤트 진행",https://news.google.com/rss/articles/CBMifEFVX3lxTFB1VU5aM1RYYWZBa2xwNGRLNm00elV0MFZtOWkxSm14ZGhxenZyNzJweUdtWkhEM1lJaV9CY3JqV05yZzdjSXRVWFVMdkxya0ppNlEwdk02bGdubzMzbkZPZG1HWUV2anJjanJQWDMtRXZOSUtISzl1NWpudlQ?oc=5,디지틀조선TV,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,"카카오 AI '카나나', 우리집 댕냥이 사진 보고 음성편지 만든다",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBra2RtMm0zQUpidGFlZFBjVWxpOFFTc1NsMDN0eEtncUttVm9YOElVYnhfRTl3WlRaVDZEWHd6VHBvb2c2NjZOT0VKclk5Y1dMWldvc0doekVlbTdOZTJNNdIBeEFVX3lxTE94TmQ0QWdvR2szUFZlSDFiOGRyYkZJWUpFdXZqTy1GZUs3U3VjZlJwWk5jZnVWVXJOS2UyUVF3bmtacHZBWURoYmg3YWtKbm45SDhsN1B1U2NwQXVqNVZGalR1dEx3TnNQVFUyUWt4a09LUTBfWE9qag?oc=5,뉴시스,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,"“내 강아지 무슨 생각할까”…카카오, 사진 한 장으로 속마음 읽는 AI 편지 배달",https://news.google.com/rss/articles/CBMidEFVX3lxTE1rWlNxRlRzOV9kS2NmU3J6TkplY2VFUGRXV1Bna0NPRldYWVM5X0lBWU91emx3YUFHZkhPYTNGb0pwN2pmblBMVVZkVFY2bFkwUlY4Z202ZUtnbHpFUUxDUjZmT2dfMmoweWgyeGZ2VlF4Rlpu0gF0QVVfeXFMTWtaU3FGVHM5X2RLY2ZTcnpOSmVjZUVQZFdXUGdrQ09GV1hZUzlfSUFZT3V6bHdhQUdmSE9hM0ZvSnA3amZuUExVVmRUVjZsWTBSVjhnbTZlS2dsekVRTENSNmZPZ18yajB5aDJ4ZnZWUXhGWm4?oc=5,thefairnews.co.kr,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,"카카오, 반려동물 사진으로 ‘펫레터’ 제작",https://news.google.com/rss/articles/CBMickFVX3lxTE0zR0N4dk11MU4zNWsyR3NyV2EzeFUxSXlsNm9ZaC1pcjFlbzZHaGhBYk5DQUVLTEVkRTFodGVwYXFYcFJHV1BkcDNTSWk5VGEwZm5sT1JpalAxbDJDMHl6ZThIYk1ZelpVN0tHUFJ5SV9TUQ?oc=5,웹이코노미,COLLECTION_FILTER,,,collection_relevance:photo_or_caption_title,,,,,,,,,,,,,
카카오,확산 속도 중요한 ‘모두의 AI’...카카오·네이버·SKT가 유력한 이유,https://news.google.com/rss/articles/CBMigwFBVV95cUxObm9EWkpzVkFELWZ6THhzQUEwMFloTmx5OG81cktFaHJqQlNJYXhRNlRQdkI4ZXV4OWFCQm9rN1ZxX1NRdHRiOEgzUnAyN0hwTUg5MWFNMzNXamJRZm1yNklzQ2VrN0drMk5rd1l6VWxmSktabTRQM2YzdDFPemtTRnBmQQ?oc=5,조선일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
