검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,"카카오, 둘로 나누면 몸값 오를까…증권가 평가는",https://news.google.com/rss/articles/CBMiakFVX3lxTE82cGprTG5vV24wSmYtRVFnT3N3SzNQdVZQd3VzbFZqd2NoY2lzR1U1Y2NLUHN0TFFPNTdGYWJhY2ZFcndva0lkWThmYkl6Wl9TU3BCWGpiUkNHT0lHSXowbVY3R3Biak44aVE?oc=5,비즈워치,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,카카오 분할 후 밸류에이션 전망 봤더니..애널리스트 속마음 담겨있다 [이슈체크],https://news.google.com/rss/articles/CBMiT0FVX3lxTE1TSlcwOXUwVGliMWhMM0F2N0xxY1doZWdvNWJvRXBZSVNNU2xvNC1TZmk1UGR1c29DSFB5aXZXX3VvMU13MjQxSkZZNlQxVXc?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[모닝 리포트] 카카오게임즈, 3분기 저점 전망에도 '신중론'",https://news.google.com/rss/articles/CBMiXEFVX3lxTE5aTGlnbXQxX0hKM21YaHdiNlA1cGhqNGN3c0dac3ZuRTVNOG1PNGkwQ2FRVkliUG14YmdrQ0RIaDY5dU5uejhvMTN6c2pFSHhNcTZ5S0padnV0RWlG?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[리포트 브리핑]카카오게임즈, '아직은 신중하자' 중립 - 한국투자증권",https://news.google.com/rss/articles/CBMiXEFVX3lxTE5yd2VvOGJEdEpsakRFYWczMWswVEczNjRmanZUd2syQUl5cnhyY1JCNmFhVWVyOHBJNVAyNEhwVUNPZWxNWXRDZi14YjNadUhnS0RwbWphT2J2Q1Jt?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[장중수급포착] 카카오게임즈, 외국인/기관 동시 순매수… 주가 +5.45%",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1mNXRHaTFCMlVRT2RvTkViaDk3MzdWUnNPZjQ4TGtab0lTTXFjRHZJSDYwNmhETWRLOGptd0hQbUR3cUxrWWxKZWY3dzI2Z2lzRjBCRmwzNkJvejJw?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"한국투자 ""카카오게임즈 투자의견 '중립' 유지, 출시 불확실성 완전히 해소되지 않아""",https://news.google.com/rss/articles/CBMic0FVX3lxTE5ldmRfSmpEY3FKYW0xZjdhQ2EyN2VaYzJhZnpCUllFLUlBLWdTWUhUWHNwTk56bTFXOFlXUXR4b2J5UEo2OHI3QVNNR1kybjhzN3FiTXlSamJWaVlaNWhHZGVlSGlFX241ZS1va1NQUm5ybFE?oc=5,비즈니스포스트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"크라우드웍스, 과기부 '모두의AI' 사업 참여",https://news.google.com/rss/articles/CBMiU0FVX3lxTE5nSmpubFY3RG55YTZjMno4Zm1kQUNUS0JnWGRrSmE2ZzlNSkp6dTRLbXNQaHlCXzJHWThwa3lVT1JuekZmZWlFTHRxdzVianNUY2sw?oc=5,경제타임스,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,손잡은 카뱅·케뱅…소상공인 금융상품 공모전 공동 개최 - 머니투데이,https://news.google.com/rss/articles/CBMia0FVX3lxTFBtbm44UGpXcmx2R1VtWUlPTDlVM3J1OHBnQ2pKQ0RBbDBLdkpZbFJQN0FSb2ExX0JjdEVZMW5IcUVJdkRoaXVabzFOTUpKQkYwekF2am9HNGMyTnZTNDdNaHhYSGttZ0RHU3M00gFwQVVfeXFMTmVYZlFrdzYzSDAtYWtsZDM1Q3d4NGNCUUVIdTkxOEc0Yzc3VWgydERHb3ljWjRuYlpla29kSlJ2NGpOTG1aUGk5NXJNWkpkc0F0WHpZTjdzYzZzSlgxQjZqckI1TWVEZ1ZzdG56REFVWg?oc=5,머니투데이,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"[모닝 리포트] 카카오게임즈, 3분기 저점 전망에도 '신중론'",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBfSEZlOUUzMmdkdkt1NktzOVZxX3pUMlpKMWtIeFFyUVdGWHZjY19qUFJWSmRjcUhiWFZKRkJ5REtfTTYtckpkby1pTUZUS0hFTEN6RGNRTnpqWENHUW04cQ?oc=5,네이트,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"'노란봉투법' 파장, IT업계 확산…네카오, 단체교섭 집회 줄줄이",https://news.google.com/rss/articles/CBMicEFVX3lxTE9GUS12bXQzUzNwWk1wM216QnVvTVVjbUFnV0FUbFF4RE1EY0hFa0RCWGdCWXpOd3k3Uk9HREREcV9GRW9ta1N3Z1VaUHJvTkpPWExFN1pIQUVKVUw0bm9ia0tKU2pTOGR0ak92aXh6X2c?oc=5,신아일보,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"카카오뱅크-케이뱅크, 소상공인 금융 아이디어 공모전 공동 개최",https://news.google.com/rss/articles/CBMiU0FVX3lxTFA3UlpDUERveTNkWWluWElkcGNxTzRrSGhrTFEwT29MRS1lZjJ1RmJldTJLMlNJTTQyNWlXdFlJRnNmdlYtQmxmc2psMjlSTFBGS0hJ?oc=5,네이트,CURRENT_COLLECTION,canonical_seen,,same_canonical_title_same_press,,,,,,,,,,,,,
카카오,"카카오뱅크-케이뱅크, 소상공인 금융 공모전 공동 추진",https://news.google.com/rss/articles/CBMiU0FVX3lxTE12VElIN2tWSXJ1d2JpSWR4NUNaNU1RYmNTVkN1NnJlMWJyb085S2ttZGhhbXY5WVV4NGJ2UlloazhIaDV0WUZxeURIc29Hd0xfX0FN?oc=5,네이트,CURRENT_COLLECTION,canonical_seen,,near_duplicate_same_press:0.97,,,,,,,,,,,,,
카카오,카카오 주가 하락 중,https://news.google.com/rss/articles/CBMiXEFVX3lxTE9hQW9wOUh3XzZxUGd0MDBBUlBKNXhzQ3oydjNMOVJVRlUySExhY3pRTGc5ZVVxaDI3Y2ZPSUNLajRlMFROeXZxaTFBM2xWQXJkd3owRWlyWDBlQURu?oc=5,아시아뉴스통신,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[게시판] 카카오뱅크·케이뱅크, '사장님 위한 금융 아이디어 공모전'",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5wYVpLRHBrOGkyeGZtYkJEZFdFLTd0X1pQZXFyVEN0TlpJYk01eFZGT09zbkp6dGtJRi0wc0dFbmFOLWZtemEzTDdjd0JFcTh3RG9QLWpzbTQ1eW1LZXN2TNIBYEFVX3lxTE5wYVpLRHBrOGkyeGZtYkJEZFdFLTd0X1pQZXFyVEN0TlpJYk01eFZGT09zbkp6dGtJRi0wc0dFbmFOLWZtemEzTDdjd0JFcTh3RG9QLWpzbTQ1eW1LZXN2TA?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오, 둘로 나누면 몸값 오를까…증권가 평가는",https://news.google.com/rss/articles/CBMiakFVX3lxTE82cGprTG5vV24wSmYtRVFnT3N3SzNQdVZQd3VzbFZqd2NoY2lzR1U1Y2NLUHN0TFFPNTdGYWJhY2ZFcndva0lkWThmYkl6Wl9TU3BCWGpiUkNHT0lHSXowbVY3R3Biak44aVE?oc=5,비즈워치,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
