검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,매칭대표점수,제외단계,원문날짜,날짜검증결과,v20_issue_id,v20_issue_group
카카오,"카카오게임즈 '오딘', 구글 플레이 매출 1위",https://news.google.com/rss/articles/CBMiXEFVX3lxTE5YWERkRGlaT3JwXzZNal82SkhsNnR6Q25JUlZMVVUxbTk1bm9tWVhsV2gxV0FtbDRMOGtNNkNuMFNuMjhGUTQ4bTU1b1R0Y1haZTBhNnRhYWtBSHZG?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_low_value_ranking_article,,,,,,,,,,,,,
카카오,"삼성증권 ""카카오, 난관에 부딪힌 성장 전략…목표가↓""",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1XN0tMa2gwNFhheFJfQmZNSG94TmRwUHp2dThYWWhMNk1YU2VTeWV4MjI2aFZyLTNFc3RLeDdzUGVCcWJmdDhuOUxaNUxFemM?oc=5,v.daum.net,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"[리포트 브리핑]카카오, '난관에 부딪친 성장 전략' 목표가 44,000원 - 삼성증권",https://news.google.com/rss/articles/CBMiXEFVX3lxTFBHM3l3WlRSa29TbEN5MFBlcnRlaEFrd0VnWHlRUlRVUGFnbTJhR1BmZ1pmNjR0bzlXcml0Wmo5MjR2NEE3bkp1OGVRX3FlQ3VaYVZWZHBNNFA2eldu?oc=5,뉴스핌,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,카카오톡 대화방에서의 명예훼손 발언과 손해배상책임,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1Da3NBTkJIMVY4RC1XRnkxQ3Z5UGs0b2JZSHpGVVJvcnJNR1RpdklKempHR3Nhb1JGVjR4VXl5b0ZLSlhaa0cyWTVCc2JBNTdvLW1XRV9nNVJScWpBMzg3SUlDQXFid21Y?oc=5,한국주택경제신문,COLLECTION_FILTER,,,collection_relevance:collection_relevance:private_kakaotalk_or_entertainment_noise,,,,,,,,,,,,,
카카오,한때 전국민 열풍 난리더니…“이젠 절대 안 사” 17만원→3만원 추락한 ‘국민 메신저’,https://news.google.com/rss/articles/CBMiVkFVX3lxTFAyZWdrTTl1Y0I2YnhySC1kWGVOSlkxNENnYnNaSFAwSENYdklRY21ySlNZQ1lJa2lmcnZrNGFMRUNNUmZCNFNncm96V2s2NTNmT0Q2TXVR?oc=5,헤럴드경제,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"투자 늘리는 네이버, 몸집 줄이는 카카오...엇갈린 전략",https://news.google.com/rss/articles/CBMigwFBVV95cUxOOVdWdjhCZFpzZEdyVlNRUEJzeGlqaS1kSjZUMmtkbWNBVHNXb0RWbHppcEg4cFdUVnBDZHExQ05NeUU3ZlpUMTlWaDhyUjFQZnhQVzduYUxQN09hU1JpTGJHYkRONkhyanV3d0ptdVloWlZGbV9UVU91dG9yd1BQOG5mWQ?oc=5,조선일보,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,‘모두의 AI’ 사업에 LGU+·카카오 참전…SKT·KT 등은 검토중,https://news.google.com/rss/articles/CBMiZEFVX3lxTFA2ZWk3SjdkQlBGUnlpaHo0Tklxam5zNE04WFhLcGNDREUzdjM0T3lnaWJEQ3lMcUkxeDZDVHRMbDNEZUpJdHFPWi1OM2dJRlhyTjAzYTYtZ0ZuNFBZNUZPNFoxUEE?oc=5,서울경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,피케팅 시위 예고한 카카오 노조...카뱅도 노사 협상 결렬,https://news.google.com/rss/articles/CBMiZkFVX3lxTE4xakxRZUdFc3RoNk1sQlByT3l6eVhiR3lvX0FsYnlzVHRWV0Y1U250eUxUUHBpZmE3eE9YcEZheE0tYl93RUVCSnJqR2k1N3gwYVFTd3pQUHhHQWtvTmY5QmYwaURBUQ?oc=5,디일렉,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"영주365시장, 카카오와 손잡고 디지털 전환…관광객 발길 넓힌다",https://news.google.com/rss/articles/CBMib0FVX3lxTE1KTjE0RTRKSEFIU0RxamJsUjNEcXFhb1FCWnVsR2Juem5jR2lKRU5VWVB1cE9yWDJXNGhKY1Exb3U3M3ZyU2xPb0dlQ1FTOURLa0ZPd3kxMGRPTnZ5NWRwMWdZQ2oxb1JWYmtRT09Idw?oc=5,kyongbuk.co.kr,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"토스증권·카카오페이증권, 브로커리지 넘어 종합증권사로 도약",https://news.google.com/rss/articles/CBMickFVX3lxTFAtbjl6ZDZKTVRNdExtX2MxSTlWYVZ2Wk1DalhTWHJ6d1Q5czJ5Ti0wdWpkOVFja3FpaUJoMjhkZmVkaC03VnJCQnhVSng5a2tkZVJZU3M0b3ZucFRIbUxuY0k2M0p6VGlQUnhWaEJOb21iUQ?oc=5,인더스트리뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"에어비앤비, 카카오페이·대한항공과 첫 할인...일본 숙소 최대 12%↓",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9nRlNIX2lfTGxwdVhqVnNvWEx0SUNTa3owWkZoRWZpTVFuZTd6ZVB5c3JXbjlKVGhDMTcwUW9DZk1zOXVsdXhzM3BnWDctUkk?oc=5,v.daum.net,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
