검색어,후보제목,후보링크,후보언론사,매칭과거일자,매칭과거제목,매칭과거링크,중복판정이유,공유주체,공유사건태그,종합점수,제목점수,토큰점수,본문점수,후보대표점수,원문날짜,날짜검증결과,제외단계,v20_issue_id,v20_issue_group,매칭대표점수
카카오,[증권가로수] 신한증권/카카오페이증권/힌양증권/한투운용/한공회,https://news.google.com/rss/articles/CBMidEFVX3lxTFBHNWVaanBUbTlKdXdOcGpueE1wb3RfMllrZ3FVVHh3ZTdwUzlwenhXUGh3U18wb29KNWItLWVKVW5Pc1lYNk5SaG1TT3Fta2N4X0s1VGNTMzdpMWNjYlo5Ukl6UjIyMHM4S1lQNTVianpiVlZG?oc=5,대한경제,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"""대한민국은 결혼하면 주식 받는 나라""",https://news.google.com/rss/articles/CBMidEFVX3lxTE1fTHBFNlphOXFkWFdiNmh6Mnd1RHNmQVZscTljZmJzTFFLQVhKLXZfV2V0TlVSUjRGRWg3NXp0eGZhNFBKX044cGdKdEx6RjExanA3YnVFMGNicjlZdGJleFR5cDhKTTFtX1hzVjZVY2I0QlUy?oc=5,캠페인 인사이트,COLLECTION_FILTER,,,collection_relevance:collection_relevance:self_entity_absent_from_title_and_front_summary,,,,,,,,,,,,,
카카오,"카카오뱅크, 개인사업자 대출+모임통장..목표가 2.8만원-유안타",https://news.google.com/rss/articles/CBMiX0FVX3lxTE01Tk0zdnBtR1UzRnB4SlZMUldZbFFVSnRNV3NEWGlhUmZGNXNKN29sanh5MzFORUxGWmFlUkhxZU9rVmpyZGs4V2R3dW41SjEwWFdFSlR6eEF1V0xWWHRz?oc=5,스마트투데이,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,카카오 1분기 어닝 서프라이즈의 실체 | '카나나'를 공개하고도 홍보 안 하는 진짜 이유',https://news.google.com/rss/articles/CBMiaEFVX3lxTE9TbGZsbk1aWTZjdktOYlp6UG9ONVV4bFVDVmhTVFVDTmJzam9tc1ZHU3QxbHdpQmh5czM5Nkp1YWJqZ3picnlYNVNkM0R3UzFldGE5aVFrOW1ob3JlU1h0M2R0dzV1WXlw?oc=5,디잇플러스,COLLECTION_FILTER,,,collection_relevance:pure_stock_market_or_investment_noise,,,,,,,,,,,,,
카카오,"카카오뱅크 노조, 오는 31일 전일 파업…""임금교섭 결렬""",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5RNWN6R3RGMEx2SGJnS3BzUFMyZDdiaDMwbTR0RGJQY2ZXY3FjRmJHX3VEcHJYRUozS3E3N0M3bFVTYk1qRlVRU21GeXA3d29lWVhIS2RxS3NQc3lYM3ZMZkJ6SzByazQ?oc=5,연합뉴스TV,CURRENT_COLLECTION,canonical_seen,,near_duplicate_same_press:0.91,,,,,,,,,,,,,
카카오,"카카오페이증권, 올해 결혼한 부부에 국내주식 제공 이벤트",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBSNmhMVUFLNDFhM3lKYUJ6NkdlMWRoSDFBZkdodUNjMW9Na2xlUDFsVFg3TG5DZV9uREcydUd3cWlneVlnckZXWVduOWtvS3ZvcF9hdTV1dUtOYVnSAWBBVV95cUxPM1BOWTY1NWRPcVJ5a3NFVzZvbXpGYjIwZ0U3Y1hmckVTYS1qb2x0aXNTOGxVZDV2MXpFM1Y2TnNGTWdCdm1wcEUxUWVYd2FLUURpNE9aZFFRZ0paRmZIbTU?oc=5,연합뉴스,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오뱅크 노조, 31일 전일 파업…""교섭 결렬""",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9TMXJ6Ulo2OXM1STUyQmo5OGxYRFdDOG1VdXZLSmdpaEE2WjZLdVhtVnVMSm1BZUd5LUdvUHY0Ri13SldVYlB3eTNvTFlMaE51dFRFNVI5NVZ2R3FQaWtTLVlxcXppWVU?oc=5,연합뉴스TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오페이증권, 신혼부부에 국내주식 축의금 선물",https://news.google.com/rss/articles/CBMiUkFVX3lxTE5XT1dIR1VDaW8wbWx3ZnppX3F1WWRBRWszbVY1N3E2TkNWd3EyU2FqVGI5NVJ6RnpDU0ZXbnFRb281Zi1vcnZ0bGhiSkh0U0xfV0E?oc=5,매일경제 마켓,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"카카오엔터프라이즈, 신임 대표에 이재한 사업부문장 내정",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5BQjBXQjJYOVE3c1BSTXNfdE5mWUo0MmpmZ0xVN1NBYlIyUTFYYjEwbTMzQ290M1VKMjNPUTgzTUJSa1RRd0EtM1RPLU11SWtTQzcwclVqT05UeTJ2aXUxSE5zRGI?oc=5,서울경제TV,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
카카오,"[단독] 강남역 카카오프렌즈 건물에 ‘컬리’ 들어선다는데, ‘왜’",https://news.google.com/rss/articles/CBMia0FVX3lxTE1uendXM085SHZMMUdJM0ZxYlB5alhjcmVUN0k3RUV5QUdmZEZrS3I2OHFreWJvWXNzb196eV9rWENGWHFneVc5Ujc1OElmc2xLWEVoM0xpcmh0UC1mSEpncTNHVTRTSVpGXy1j?oc=5,물류신문,CURRENT_COLLECTION,canonical_seen,,same_normalized_url,,,,,,,,,,,,,
